--Header-Start--

SerialNumber	6194314361
PartNumber	1891115 HY1 CAM 17700x
BatchSerialNumber	3055645
Revision	1891115
OperationTypeName	SW Debug
UUTStatus	Passed
ErrorCode	
ErrorMessage	
StartDateTime	2019-11-11T14:03:50
ExecutionTime	174
TestSocketIndex	02
StationName	FLYING-PROBE4
OperatorName	Operator
SoftwareName	1891115-TOP-V002
SoftwareVersion	NA

--Step-Data-Start--
StepType	StepName	MeasureName	Value	LowLimit	HighLimit	CompOperator	Unit	StepStatus	StepExecutionTime	StepReportText	StepErrorCode	StepErrorMessage	CausedSequenceFailure
NumericLimitTest	ISH99	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH101	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH102	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH105	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH661	P-Auto	8383.060000	100.0	100.0	GT	O	Passed	15.000000		0		
NumericLimitTest	ISH100	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH931	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH827	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH196	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH197	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH820	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH824	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH819	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH823	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH821	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH849	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
